Zhuzhou-Hunan,0,2
Xiangtan-Hunan,0,2
Hengyang-Hunan,0,2
Shaoyang-Hunan,0,2
Yueyang-Hunan,0,2
Changde-Hunan,0,2
Zhangjiajie-Hunan,0,2
Yiyang-Hunan,0,2
Chenzhou-Hunan,0,2
Yongzhou-Hunan,0,2
Huaihua-Hunan,0,2
Loudi-Hunan,0,2
Guangzhou-Guangdong,1,1
Shaoguan-Guangdong,0,1
Shenzhen-Guangdong,0,1
Zhuhai-Guangdong,0,1
Shantou-Guangdong,0,1
Foshan-Guangdong,0,1
Jiangmen-Guangdong,0,1
Zhanjiang-Guangdong,0,1
Maoming-Guangdong,0,1
Zhaoqing-Guangdong,0,1
Huizhou-Guangdong,0,1
Meizhou-Guangdong,0,1
Shanwei-Guangdong,0,1
Heyuan-Guangdong,0,1
Yangjiang-Guangdong,0,1
Qingyuan-Guangdong,0,1
Dongguan-Guangdong,0,1
Zhongshan-Guangdong,0,1
Chaozhou-Guangdong,0,1
Jieyang-Guangdong,0,1
Yunfu-Guangdong,0,1
Nanning-Guangxi,1,2
Liuzhou-Guangxi,0,2
Guilin-Guangxi,0,2
Wuzhou-Guangxi,0,2
Beihai-Guangxi,0,2
Fangchenggang-Guangxi,0,2
Qinzhou-Guangxi,0,2
Guigang-Guangxi,0,2
Yulin-Guangxi,0,2
Baise-Guangxi,0,2
Hezhou-Guangxi,0,2
Hechi-Guangxi,0,2
Laibin-Guangxi,0,2
Chongzuo-Guangxi,0,2
Haikou-Hainan,1,1
Sanya-Hainan,0,1
Sansa-Hainan,0,1
Danzhou-Hainan,0,1
Chongqing-Chongqing,1,2
Chengdu-Sichuan,1,3
Zigong-Sichuan,0,3
Panzhihua-Sichuan,0,3
Luzhou-Sichuan,0,3
Deyang-Sichuan,0,3
Mianyang-Sichuan,0,3
Guangyuan-Sichuan,0,3
Suining-Sichuan,0,3
Neijiang-Sichuan,0,3
Leshan-Sichuan,0,3
Nanchong-Sichuan,0,3
Meishan-Sichuan,0,3
Yibin-Sichuan,0,3
Guang'an-Sichuan,0,3
Dazhou-Sichuan,0,3
Ya'an-Sichuan,0,3
Bazhong-Sichuan,0,3
Ziyang-Sichuan,0,3
Guiyang-Guizhou,1,3
Liupanshui-Guizhou,0,3
Zunyi-Guizhou,0,3
Anshun-Guizhou,0,3
Bijie-Guizhou,0,3
Tongren-Guizhou,0,3
